Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,50.400001525878906,51.060001373291016,50.099998474121094,51.0,46.813758850097656,63583763
2022-01-05,51.11000061035156,52.400001525878906,50.970001220703125,52.06999969482422,47.79592514038086,118124669
2022-01-06,51.9900016784668,52.02000045776367,51.220001220703125,51.29999923706055,47.08913040161133,66165825
2022-01-07,51.4900016784668,53.33000183105469,51.45000076293945,52.939998626708984,48.594512939453125,123075974
2022-01-10,52.9900016784668,53.560001373291016,52.5,53.08000183105469,48.723026275634766,76113442
2022-01-11,53.16999816894531,53.7400016784668,52.540000915527344,52.86000061035156,48.521080017089844,68092028
2022-01-12,52.599998474121094,52.810001373291016,51.86000061035156,52.5,48.19063186645508,57292274
2022-01-13,52.54999923706055,53.68000030517578,52.29999923706055,52.29999923706055,48.007049560546875,72866329
2022-01-14,52.349998474121094,52.5,51.060001373291016,51.099998474121094,46.905548095703125,77939676
2022-01-17,51.11000061035156,51.43000030517578,50.75,50.939998626708984,46.7586784362793,46056724
2022-01-18,50.939998626708984,51.59000015258789,50.599998474121094,51.22999954223633,47.024879455566406,63697991
2022-01-19,51.29999923706055,51.84000015258789,51.11000061035156,51.45000076293945,47.2268180847168,48331572
2022-01-20,51.5,53.52000045776367,51.45000076293945,53.400001525878906,49.01675796508789,144835941
2022-01-21,53.5,53.79999923706055,53.0,53.54999923706055,49.15444564819336,104189534
2022-01-24,53.529998779296875,53.529998779296875,52.529998779296875,53.130001068115234,48.7689208984375,54264076
2022-01-25,52.599998474121094,52.900001525878906,51.099998474121094,51.20000076293945,46.99734115600586,77666210
2022-01-26,51.68000030517578,52.189998626708984,51.220001220703125,51.83000183105469,47.57563018798828,48327488
2022-01-27,51.5,51.5,50.77000045776367,50.790000915527344,46.620994567871094,58650221
2022-01-28,51.02000045776367,51.349998474121094,49.79999923706055,49.970001220703125,45.86830139160156,72935539
2022-02-07,51.34000015258789,52.470001220703125,50.70000076293945,51.97999954223633,47.713314056396484,94041650
2022-02-08,51.7599983215332,53.029998779296875,51.720001220703125,53.0,48.649593353271484,86611569
2022-02-09,53.2400016784668,54.0,52.880001068115234,53.040000915527344,48.686309814453125,88043453
2022-02-10,53.18000030517578,54.18000030517578,52.79999923706055,54.18000030517578,49.73273468017578,96278716
2022-02-11,54.349998474121094,56.22999954223633,54.08000183105469,55.59000015258789,51.02699661254883,158377687
2022-02-14,55.0099983215332,55.29999923706055,53.68000030517578,53.900001525878906,49.47571563720703,94465413
2022-02-15,53.54999923706055,53.900001525878906,52.90999984741211,53.279998779296875,48.90660858154297,63540572
2022-02-16,53.5,54.18000030517578,53.279998779296875,53.84000015258789,49.4206428527832,52320987
2022-02-17,54.099998474121094,54.630001068115234,53.36000061035156,53.650001525878906,49.246238708496094,50490447
2022-02-18,53.599998474121094,54.599998474121094,53.439998626708984,54.5,50.026466369628906,48422611
2022-02-21,54.099998474121094,54.25,53.5099983215332,54.15999984741211,49.71437454223633,38792845
2022-02-22,53.52000045776367,53.599998474121094,52.709999084472656,53.06999969482422,48.713844299316406,57749929
2022-02-23,53.099998474121094,53.29999923706055,52.689998626708984,52.88999938964844,48.54861831665039,46360166
2022-02-24,52.150001525878906,52.25,51.09000015258789,51.459999084472656,47.236000061035156,97539602
2022-02-25,51.70000076293945,52.060001373291016,51.209999084472656,51.400001525878906,47.18092346191406,54441639
2022-02-28,51.099998474121094,51.099998474121094,50.25,50.7599983215332,46.59345626831055,73188326
2022-03-01,51.0099983215332,51.400001525878906,50.56999969482422,51.38999938964844,47.17174530029297,56803579
2022-03-02,50.900001525878906,51.22999954223633,50.70000076293945,50.7599983215332,46.59345626831055,43692256
2022-03-03,50.79999923706055,51.189998626708984,50.70000076293945,50.91999816894531,46.74032211303711,35267571
2022-03-04,50.470001220703125,50.47999954223633,49.959999084472656,50.099998474121094,45.98762893676758,70086471
2022-03-07,49.619998931884766,49.619998931884766,48.65999984741211,48.880001068115234,44.867774963378906,78459673
2022-03-08,48.720001220703125,49.060001373291016,47.29999923706055,47.470001220703125,43.57351303100586,83440296
2022-03-09,47.61000061035156,47.93000030517578,45.5,46.91999816894531,43.06865310668945,82554495
2022-03-10,47.95000076293945,48.040000915527344,46.86000061035156,46.90999984741211,43.05947494506836,58775280
2022-03-11,46.0,47.400001525878906,45.70000076293945,47.13999938964844,43.27059555053711,66707823
2022-03-14,46.0,46.56999969482422,45.77000045776367,45.810001373291016,42.04977035522461,59257848
2022-03-15,45.04999923706055,45.20000076293945,42.54999923706055,42.650001525878906,39.14915466308594,126937879
2022-03-16,43.290000915527344,44.650001525878906,42.33000183105469,44.290000915527344,40.654537200927734,100969426
2022-03-17,45.5,46.20000076293945,44.75,45.5,41.76521301269531,109572199
2022-03-18,45.04999923706055,48.380001068115234,44.91999816894531,47.93000030517578,43.99575424194336,155232341
2022-03-21,47.77000045776367,47.77000045776367,46.630001068115234,47.040000915527344,43.17880630493164,94951866
2022-03-22,46.5,47.86000061035156,46.45000076293945,47.79999923706055,43.87642288208008,74211155
2022-03-23,47.560001373291016,48.15999984741211,47.150001525878906,47.900001525878906,43.96821975708008,57702918
2022-03-24,47.529998779296875,48.720001220703125,47.400001525878906,48.25,44.28948211669922,61075714
2022-03-25,48.0099983215332,48.790000915527344,47.58000183105469,47.630001068115234,43.72037887573242,55993803
2022-03-28,47.400001525878906,48.119998931884766,46.93000030517578,47.849998474121094,43.92231750488281,39368626
2022-03-29,47.95000076293945,48.20000076293945,47.150001525878906,47.209999084472656,43.3348503112793,32235684
2022-03-30,47.54999923706055,48.83000183105469,47.45000076293945,48.70000076293945,44.702552795410156,57542713
2022-03-31,48.400001525878906,49.25,48.29999923706055,48.45000076293945,44.47306823730469,42349781
2022-04-01,48.29999923706055,49.11000061035156,48.11000061035156,48.959999084472656,44.94120407104492,47367667
2022-04-06,49.04999923706055,49.91999816894531,49.0,49.540000915527344,45.473602294921875,64005275
2022-04-07,49.20000076293945,49.52000045776367,48.290000915527344,48.47999954223633,44.500606536865234,50112992
2022-04-08,48.349998474121094,49.25,48.349998474121094,49.2400016784668,45.19822692871094,43473184
2022-04-11,48.90999984741211,48.97999954223633,47.52000045776367,47.619998931884766,43.71120071411133,50640496
2022-04-12,47.86000061035156,48.880001068115234,47.47999954223633,48.470001220703125,44.49142837524414,46739555
2022-04-13,48.25,48.380001068115234,47.68000030517578,47.81999969482422,43.894779205322266,31775137
2022-04-14,48.369998931884766,48.52000045776367,47.900001525878906,48.189998626708984,44.23440933227539,35884891
2022-04-15,48.0,48.7400016784668,47.900001525878906,48.29999923706055,44.33538055419922,31411511
2022-04-18,47.9900016784668,47.9900016784668,46.83000183105469,47.0,43.142086029052734,40537521
2022-04-19,47.04999923706055,47.27000045776367,46.130001068115234,46.439998626708984,42.628055572509766,36954300
2022-04-20,46.650001525878906,46.790000915527344,45.83000183105469,45.90999984741211,42.141563415527344,38060988
2022-04-21,45.880001068115234,47.18000030517578,45.810001373291016,46.220001220703125,42.426116943359375,54904356
2022-04-22,46.0099983215332,46.970001220703125,45.90999984741211,46.459999084472656,42.64641189575195,39732577
2022-04-25,45.0,46.18000030517578,44.70000076293945,44.849998474121094,41.1685676574707,67392037
2022-04-26,44.84000015258789,45.18000030517578,43.5099983215332,43.59000015258789,40.011993408203125,63892364
2022-04-27,43.40999984741211,44.20000076293945,43.18000030517578,43.90999984741211,40.30572509765625,53108352
2022-04-28,43.790000915527344,43.90999984741211,43.15999984741211,43.65999984741211,40.07624816894531,52599939
2022-04-29,43.79999923706055,45.119998931884766,43.599998474121094,44.560001373291016,40.90237045288086,51638636
2022-05-05,44.790000915527344,45.58000183105469,44.75,45.02000045776367,41.324615478515625,42878154
2022-05-06,44.45000076293945,44.97999954223633,44.0,44.060001373291016,40.443416595458984,37231482
2022-05-09,44.08000183105469,44.40999984741211,43.869998931884766,44.349998474121094,40.7096061706543,25611950
